id,user_id,username,invited_by,referrals,group_link_sent
298,7247713418,Sharapat011,5833169967,0,0
299,5557868366,nilualimovna_minijer,5833169967,2,1
300,1915548527,BiznesmenAzizjon_03_06,6368263461,0,0
301,5231315029,marjona18_08,5833169967,0,0
302,6824012337,,5833169967,2,0
303,6959890605,,6824012337,0,1
304,6962631257,,5557868366,0,1
305,7409722346,Fakhriddin0906,7396525906,0,1
306,6631665393,,7396525906,0,0
307,6596393006,Fiz_Ast_2020_2024,5833169967,4,1
308,2138090447,Sardoor_oo2,7504478429,0,0
309,7065569240,,5833169967,0,1
310,584329903,Tohir1111122222,5557868366,0,0
311,7189199127,Abror_Sevara_Asal_Muhammadali,5833169967,0,1
312,6562754767,Shahnoza_Shaxriyorovna,5833169967,0,1
313,915611571,,5833169967,0,1
314,7940519994,Djoxa7117,7504478429,0,1
315,7668746154,AXF_03_10,6824012337,0,0
316,7638101958,bonu_1528,6824012337,0,0
317,7330246821,,6596393006,0,0
320,8194069875,umidam06,6596393006,0,0
321,1981537704,ollohimsenborsan,5833169967,0,0
322,5710571864,tukeyt,,0,0
324,7066141335,MarufjonovMurodjon,,0,1
325,7228041318,Jasmina56_06,6615706849,0,0
326,8131017373,,5557868366,0,0
330,8053857097,,5116238471,0,0
334,6522645952,,6615706849,0,0
336,7541873993,,6596393006,0,1
337,5622398243,fazliddin_1111,7396525906,0,0
338,6283945263,,7061238703,0,1
